Data,Descrição,Valor,Tipo,Categoria
01/04/2026,"01/04/2026 1924295 370,00 6.156,02",370.0,Entrada,Não Identificado
02/04/2026,"02/04/2026 756215 94,58 6.257,80",94.58,Entrada,Não Identificado
06/04/2026,"06/04/2026 BARBARA JESSICA DOS SANTOS 295656 340,00 4.148,49",340.0,Entrada,Não Identificado
07/04/2026,"07/04/2026 1111020 520,00 7.466,59",520.0,Entrada,Não Identificado
08/04/2026,"08/04/2026 2011597 58,60 7.251,73",58.6,Entrada,Não Identificado
09/04/2026,"09/04/2026 1926218 183,00 3.741,55",183.0,Entrada,Não Identificado
10/04/2026,"10/04/2026 647042 700,00 4.441,55",700.0,Entrada,Não Identificado
13/04/2026,"13/04/2026 643039 25,00 4.513,06",25.0,Entrada,Não Identificado
14/04/2026,"14/04/2026 959115 25,00 6.447,34",25.0,Entrada,Não Identificado
15/04/2026,"15/04/2026 2005178 55,00 6.502,34",55.0,Entrada,Não Identificado
16/04/2026,"16/04/2026 2249066 85,00 6.385,75",85.0,Entrada,Não Identificado
17/04/2026,"17/04/2026 295849 -202,63 6.183,12",202.63,Entrada,Não Identificado
20/04/2026,"20/04/2026 1319527 30,00 6.213,12",30.0,Entrada,Não Identificado
22/04/2026,"22/04/2026 2010004 10,00 6.575,62",10.0,Entrada,Não Identificado
23/04/2026,"23/04/2026 1 -0,90 6.584,72",0.9,Entrada,Não Identificado
27/04/2026,"27/04/2026 1656295 25,00 6.609,72",25.0,Entrada,Não Identificado
29/04/2026,"29/04/2026 1846375 132,00 7.013,98",132.0,Entrada,Não Identificado
11/05/2026,"11/05/2026 BARBARA JESSICA DOS SANTOS 295933 310,00 5.847,92",310.0,Entrada,Não Identificado
